"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 04 16:01:59 GMT 2022","Sat Jun 04 16:02:06 GMT 2022","6452","test","test_conduit","TestConduit","","","test_list_elements",""
"broken","Sat Jun 04 16:01:22 GMT 2022","Sat Jun 04 16:01:28 GMT 2022","6452","test","test_conduit","TestConduit","","","test_create_new_element",""
"broken","Sat Jun 04 16:01:51 GMT 2022","Sat Jun 04 16:01:58 GMT 2022","6441","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"broken","Sat Jun 04 16:01:30 GMT 2022","Sat Jun 04 16:01:37 GMT 2022","6441","test","test_conduit","TestConduit","","","test_delete_element",""
"passed","Sat Jun 04 16:00:56 GMT 2022","Sat Jun 04 16:00:57 GMT 2022","1012","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sat Jun 04 16:01:38 GMT 2022","Sat Jun 04 16:01:50 GMT 2022","11433","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Sat Jun 04 16:01:10 GMT 2022","Sat Jun 04 16:01:17 GMT 2022","6463","test","test_conduit","TestConduit","","","test_logout",""
"broken","Sat Jun 04 16:02:15 GMT 2022","Sat Jun 04 16:02:22 GMT 2022","6416","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Sat Jun 04 16:01:18 GMT 2022","Sat Jun 04 16:01:20 GMT 2022","2094","test","test_conduit","TestConduit","","","test_accept_cookie",""
"broken","Sat Jun 04 16:02:07 GMT 2022","Sat Jun 04 16:02:14 GMT 2022","6413","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Sat Jun 04 16:00:59 GMT 2022","Sat Jun 04 16:01:08 GMT 2022","9478","test","test_conduit","TestConduit","","","test_login",""
